,year,firstname,lastname,alt_name,company,comment,sources,play_performance,keyword
117,1886,Harold,Cameron,,,burlesque primadonna; most natural and refined female impersonator before the public; looking for employment in minstrels and dioramic entertainments,"The Stage (Archive: 1880-1959); London Iss. 296, (Nov 19, 1886): 18-24.

The Stage (Archive: 1880-1959); London Iss. 298, (Dec 3, 1886): 18-24.

The Stage (Archive: 1880-1959); London Iss. 299, (Dec 10, 1886): 10.

The Stage (Archive: 1880-1959); London Iss. 300, (Dec 17, 1886): 10.

The Stage (Archive: 1880-1959); London Iss. 301, (Dec 24, 1886): 10.

The Stage (Archive: 1880-1959); London Iss. 303, (Jan 7, 1887): 18-24.",,
118,1886,,,,,______ can’t find,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]27 Nov 1886: 4.,,
119,1887,Charles F.,McCarthy,,,Irish female impersonator; sketch called “Rehearsal”,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]23 Jan 1887: 10.",,
120,1887,Billy,Lyons,,,,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]06 Feb 1887: 10.",,
121,1887,,Leon,,,"the original female impersonator; born in Baltimore’s eighth ward; just returned from Australia, where they were very successful","The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]10 Feb 1887: 4.",,
122,1887,Will/iam Henry,Rice,,"McNish, Johnson & Slavin’s Refined Minstrels","great female impersonator; “The Rival of Patti"" Adelina Patti","Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]13 Feb 1887: 3.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]13 Feb 1887: 8.",,
123,1887,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]19 Aug 1887: 6.",,
124,1887,,,,,______ can’t find,"The Stage (Archive: 1880-1959); London Iss. 342, (Oct 7, 1887): 1-7.

The Stage (Archive: 1880-1959); London Iss. 343, (Oct 14, 1887): 1-6.",,
125,1887,Frank,Dumarast,,,effeminate looking young fellow = female impersonator; but worked as a waiter recently; speaking from house members of the family and boarders at his boarding house — pasted below,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]31 Oct 1887: 4.",,
126,1887,,,,,make up manual for female impersonation — pdf saved,"Chicago Daily Tribune (1872-1922); Chicago, Ill. [Chicago, Ill]09 Nov 1887: 7.",,
127,1888,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]29 Feb 1888: 4.",,
128,1888,Cecil,Dacre,,,playing the princess Viola de Montmar in “The Decoy”,"The Stage (Archive: 1880-1959); London Iss. 363, (Mar 2, 1888): 21.

The Stage (Archive: 1880-1959); London Iss. 364, (Mar 9, 1888): 20.",The Decoy,
129,1888,,,,,don’t think it’s actually about female impersonation - but downloaded,"Barnum, P T; Modjeska, Mme; Palmer, A M; HARRISON GREY FISKE; et al. Christian Union (1870-1893); New York Vol. 37, Iss. 13, (Mar 29, 1888): 392.",,
130,1888,William,Lyons,,Gorman’s Spectacular Minstrels,unrivaled as a female impersonator,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]16 Sep 1888: 18.",,
131,1888,Harry,Le Strange,,,,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]18 Sep 1888: 1.",,
132,1888,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]23 Sep 1888: 10.",,
133,1888,Harry,Le Clair,,,"lost all his wardrobe in the Opera House fire in Syracuse; valued at $1,500","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]23 Sep 1888: 11.",,
134,1888,Fred,Malcolm,,Johnson and Slavin’s Minstrels?,clever female impersonator in new and taking songs,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]24 Sep 1888: 8.",,clever
135,1888,Gus,Raymond,,,Irish female impersonator,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]25 Sep 1888: 4.",,
136,1888,Fred,Malcolm,,Johnson & Slavin’s Minstrels,Johnson & Slavin’s Minstrels had no women in the troupe — only a female impersonator; Fred Malcolm,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]15 Oct 1888: 4.",,
137,1888,,,,,another Chinese female impersonator? PDF saved,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]23 Dec 1888: 15.",,
138,1889,Carl,Ostend,,,exceedingly clever; making lots of friends,"The Stage (Archive: 1880-1959); London Iss. 413, (Feb 15, 1889): 12.

Our Own Correspondent. The Stage (Archive: 1880-1959); London Iss. 440, (Aug 23, 1889): 10.",,clever
139,1889,Charles,Fostelle,,,"a burlesque premiere danseuse which caught the audience; has been seen here often; probably the best female impersonator now before the public; caught the house to the extent of a triple encore and convulsed everybody with laughter; though doing a burlesque act, proves a tip-top premiere danseus","St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]18 Feb 1889: 7.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]24 Feb 1889: 12.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]26 Feb 1889: 6.",,
140,1889,,Chicot,,,"a female impersonator whose “get-up” is wonderfully good, and the songs well-rendered; new song, “Birds, birds, birds”; has speedily worked his way to the front in his special line","The Stage (Archive: 1880-1959); London Iss. 416, (Mar 8, 1889): 11.

The Stage (Archive: 1880-1959); London Iss. 418, (Mar 22, 1889): 12.

The Stage (Archive: 1880-1959); London Iss. 421, (Apr 12, 1889): 12.

The Stage (Archive: 1880-1959); London Iss. 422, (Apr 19, 1889): 12.",,
141,1889,Harold,Cameron,,,,"The Stage (Archive: 1880-1959); London Iss. 417, (Mar 15, 1889): 16.",,
142,1889,Paul,Large,,,,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]13 May 1889: 6.",,
143,1889,John,Phillips,,,"arrested dressed in women’s clothes, wigs, bustles, pads, and numberless unmentionables, which they considered “attractive” in their characters of ""female impersonators”","Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]07 June 1889: 2.",,
144,1889,Hiram,Belt,,,"arrested dressed in women’s clothes, wigs, bustles, pads, and numberless unmentionables, which they considered “attractive” in their characters of ""female impersonators”","Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]07 June 1889: 2.",,
145,1889,,Take-a-Wing,,,"the alleged greatest Chinese female impersonator in the world - played Princess King Joon in “Shee-Long-Tanmoo,” or “The Royal Slave”; first is super racist review - pasted below; wore false feet, which conveyed the necessary impression that they had been squeezed to the equities smallness for Chinese beauty — second one also pasted below","Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]25 June 1889: 1.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]25 June 1889: 6.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]25 June 1889: 1.","Shee-Long-Tanmoo, or The Royal Slave",
146,1889,,Rosselle,,Primrose and West’s Minstrels,/Charles Gail/,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]21 Aug 1889: 5.,,
147,1889,,,,,______ can’t find — PDF saved,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]22 Sep 1889: 11.",,
148,1889,,,,,______ can’t find,"The Stage (Archive: 1880-1959); London Iss. 448, (Oct 18, 1889): 15.",,
149,1889,J. H.,Mack,,Cal Wagner’s Minstrels,,"Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]19 Nov 1889: 4.",,
150,1889,Jefferson,Davis,,,celebrated female impersonator,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]22 Dec 1889: 3.",,
151,1889,Pete,Shaw,,,"received a pretty little Scotch terrier, a Christmas gift from friends","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]26 Dec 1889: 6.",,
152,1890,,Crowley,,Cushman & Thomas’ Minstrels,,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]21 Jan 1890: 4.",,
153,1890,Lester,Jansen,,,young and promising female impersonator,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]02 Feb 1890: 17.",,
154,1890,Carl,Ostend,,,,"The Stage (Archive: 1880-1959); London Iss. 464, (Feb 7, 1890): 8.

The Stage (Archive: 1880-1959); London Iss. 465, (Feb 14, 1890): 8.

The Stage (Archive: 1880-1959); London Iss. 465, (Feb 14, 1890): 12.

The Stage (Archive: 1880-1959); London Iss. 446, (Feb 21, 1890): 12.",,
155,1890,Ah,Giang,,,"professional boxer, wrestler, and female impersonator; effeminate looking","The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]09 Feb 1890: 14.",,
156,1890,Charles,Heywood,,,will play Angelina Bubble in “A Royal Hand” besides introducing his prima donna specialty,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]10 Feb 1890: 6.",A Royal Hand,
157,1890,,,,,masquerade with female impersonators — PDF saved,"Chicago Daily Tribune (1872-1922); Chicago, Ill. [Chicago, Ill]16 Feb 1890: 1.",,
158,1890,,Shaw,,,illustration — PDF saved,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]23 Feb 1890: 12.",,
159,1890,Eugene,Mack,,,skillful female impersonator,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]11 Mar 1890: 7.",,
160,1890,Fred,Dart,,Carncross Minstrel Company,,"Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]31 Mar 1890: 2.

Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]31 Mar 1890: 3.

New York Times (1857-1922); New York, N.Y. [New York, N.Y]31 Mar 1890: 1.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]31 Mar 1890: 2. [copied and pasted below]

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]31 Mar 1890: 1.",,
161,1890,,,,,Evangeline - PDF downloaded,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]06 Apr 1890: 3.",Evangeline,
162,1890,Georgie,Marsh,,,male impersonator?,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]13 Apr 1890: 10.

Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]13 Apr 1890: 11.",,
163,1890,Gus,Mills,,,most refined and artistic female impersonator in the world; first appearance here — Boston? U.S.?,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]13 Apr 1890: 10.

Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]13 Apr 1890: 11.",,
164,1890,,Shaw,,,"what he or she is no one seems to know, and no clew to the identity of Shaw was afforded by the performance last evening; sings very good in German, French, English, Spanish in clear soprano; he or she changes dresses every night and dances like a juvenile ballet-girl","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]15 Apr 1890: 6.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]22 Apr 1890: 8.",,
165,1890,,La Strange,,,,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]29 Apr 1890: 8.",,
166,1890,J. Arthur,Doty,,,"/John Oakman/ died a few days prior at Detroit Insane Asylum; especially noted for his roguish ways and captivating manners; at one time had a bright future — headline “‘Pete’ Shaw Still Lives”???? — in insane asylum because homosexuality?? — died of a “softening of the brain,” at “a retreat at Detroit” says next article","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]03 May 1890: 16.

Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]04 May 1890: 11.",,
167,1890,,Latimar,,,"in make-up,, gesture, voice, and bye-play he is just like a woman; indeed, were he not to remove his long golden wig at the end of the performance few would discover his identity","The Stage (Archive: 1880-1959); London Iss. 481, (Jun 6, 1890): 14-15.",,
168,1890,Gus,Mills,,,Philadelphia’s favorite,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]15 June 1890: 6.,,
169,1890,[Thomas L.?],Master Floyd,,Nightingale Minstrels,"/Thomas L. Moxley/ dead - 62 years old = born 1828. Dead from ""rheumatism of the heart"" - known as an ""impersonator of female characters"" in the Moxley-Kunkel's Nightingales.  Born in Baltimore and was a brother of Basil Moxley, a doorkeeper at Ford's Opera House. A sister survives. ""He never married.""","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]08 July 1890: 2.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]08 July 1890: 1.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]08 July 1890: 1.

The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]08 July 1890: 2. 

The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]08 July 1890: 6. ",,
170,1890,Quinton,Gibson,,,,"The Stage (Archive: 1880-1959); London Iss. 486, (Jul 11, 1890): 5-6.

The Stage (Archive: 1880-1959); London Iss. 496, (Sep 19, 1890): 7.",,
171,1890,Neil,Burgess,,,"a woman taking over his part of spinster Abigail Prue in “The County Fair""; likely not going to succeed for the reason that having a man to play the woman’s part has always been the chief attraction of the piece — see more in pasted below; Chicago Daily Tribune writes that one cannot imagine it done as unexceptionably by a male; the New York production is about to enter on a third year of its run","Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]14 July 1890: 5.

Chicago Daily Tribune (1872-1922); Chicago, Ill. [Chicago, Ill]26 Aug 1890: 4.",The County Fair,
172,1890,R. A.,Douglas,,,"looking for employment as “Burlesque Girl""","The Stage (Archive: 1880-1959); London Iss. 491, (Aug 15, 1890): 20.",,
173,1890,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]19 Aug 1890: 8.

Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]09 Nov 1890: 10.",,
174,1890,Carl,Ostend,,,celebrated double-voiced female impersonator; with some success considering the little interest that is manifested by the public in this class of entertainment now,"The Irish Times (1874-1920); Dublin, Ireland [Dublin, Ireland]01 Sep 1890: 4.

The Stage (Archive: 1880-1959); London Iss. 507, (Dec 5, 1890): 14.",,
175,1890,Charles,Fostelle,,Kimball Opera Company,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]14 Oct 1890: 5.,,
176,1891,Gus,Mills,,,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]04 Jan 1891: 17.",,
177,1891,Jeannie,Winston*,,,"accidentally called ""female impersonator of male roles in comic opera”","Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]04 Jan 1891: 15.",,
178,1891,,Flanagan,,,as a burlesque female impersonator he reveals unsuspected powers; he is full of ho and spontaneous humor and his business is original.,"The Stage (Archive: 1880-1959); London Iss. 512, (Jan 8, 1891): 8.",,
179,1891,Arthur,Farran,,,,"The Stage (Archive: 1880-1959); London Iss. 516, (Feb 5, 1891): 7.

The Stage (Archive: 1880-1959); London Iss. 518, (Feb 19, 1891): 7.",,
180,1891,Lester,Jansen,,,successful female impersonator,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]08 Feb 1891: 22.",,
181,1891,Fred,Harrison,,,"displayed a great deal of versatility, with a catching make-up besides; a clever female impersonator","Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]10 Feb 1891: 4.

Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]22 Feb 1891: 14.",,clever
182,1891,Herbert,[Crowley?],,,,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]01 Mar 1891: 9.,,
183,1891,Gus,Mills,,The Hustler Company,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]06 Mar 1891: 3.,,
184,1891,E.L.,Stuart,,,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]24 Mar 1891: 5.,,
185,1891,Carl,Ostend,,,pre-eminent with the song “I Will be True to Thee”,"The Stage (Archive: 1880-1959); London Iss. 523, (Mar 26, 1891): 11.",,
186,1891,,,,,Unnamed Chinese female impersonator,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]30 Mar 1891: 10.",,
187,1891,Eliza,Thurbett,,,uncovered transphobically in Sing Sing — pasted below,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]20 Apr 1891: 1.",,
188,1891,,La Drew,,Lillie McHenry’s Gaiety Girls and Boys,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]19 May 1891: 6.",,
189,1891,,,,,"substitution of a male for a female impersonator in ""Carmen up to Date"" at the Gaiety Theatre",The Observer (1791- 1900); London (UK) [London (UK)]24 May 1891: 6.,Carmen up to Date,
190,1891,,Leon,,,"in farce-comedy “The Grab Bag”; called one of ""the favorites on the farce-comedy stage”; the only Leon; really good; creates considerable amusement of a not uncommon kind","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]05 July 1891: 3.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]07 July 1891: 7.",The Grab Bag,
191,1891,Herbert,Crowley,,,the best female impersonator on the stage,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]12 July 1891: 10.,,
192,1891,Harry,Walker,,,"invariably called on by the theatrical clubs of the city when they need a “female impersonator”l always fills the bill most satisfactorily; native of England; vocal training on boy choir; sings in falsetto — lots of illustrations, none of Walker","St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]19 July 1891: 12.",,
193,1891,F.,Fredericks,,F. Fredericks’s Burlesque Company,,"The Stage (Archive: 1880-1959); London Iss. 540, (Jul 23, 1891): 6.",,
194,1891,,Leon,,,"best performance in “A High Roller” at Chestnut Street Theatre; played Ethelinde Roller, the old maid sister of Hiram; clever singing and dancing",Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]08 Sep 1891: 5.,A High Roller,clever
195,1891,,St. Julian,,,the greatest of all; celebrated female impersonator; in a vaudeville show,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]22 Nov 1891: 5.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]22 Nov 1891: 7.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]23 Nov 1891: 7.",,
196,1891,Wilfred,Sake,,Bennett’s Varieties,,"The Stage (Archive: 1880-1959); London Iss. 558, (Nov 26, 1891): 7.",,
197,1891,Gus,Sake,,,stands pre-eminent,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]20 Dec 1891: 11.,,
198,1891,Herbert,Crowley,,,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]22 Dec 1891: 5.,,
199,1891,George W.,Monroe,,,"plays Bridget McVeigh; this clever female impersonator fairly outdoes himself, and the fun is fast and furious all the time he is on the stage.",Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]27 Dec 1891: 11.,(Role: Bridget McVeigh),clever
200,1891-92,Tim,Cronin,,,worked with Wm. J. Scanlan for years; Scanlan wrote the sketches in which they made success; Scanlan left him and had his first legitimate engagement,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]29 Dec 1891: 1.

St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]10 Aug 1892: 1.",,
201,1892,,Le Rose,,Nunn’s Spectacular Mastodon Minstrels,,"The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]31 Dec 1891: 5.",,
202,1892,Alfred,Mayron,,,"successful; gave “Who’s the a-calling?""","The Stage (Archive: 1880-1959); London Iss. 563, (Dec 31, 1891): 21-24.

The Stage (Archive: 1880-1959); London Iss. 565, (Jan 14, 1892): 17-18.",,
203,1892,Gilbert,Saroney,,,"the best man at Annie Hindle’s wedding - she was a male impersonator, downloaded PDF","Special Correspondence SUNDAY POST-DISPATCH. St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]17 Jan 1892: 25.",,
204,1892,,Le Clair,,Sam Devere’s Company,"played Cleopatra in “Antony and Cleopatra” -- a sketch, I believe","Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]19 Jan 1892: 2.",,
205,1892,,,,,silly article making a deputy clerk out to be a female impersonator… pasted below,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]24 Jan 1892: 6.",,
206,1892,,Lyons,,Cleveland’s Minstrels,deceptive; makes up well for a woman; but he is not particularly graceful or gifted with much voice — pasted below,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]26 Jan 1892: 4.,,
207,1892,Wilfred,Lake,,,,"The Stage (Archive: 1880-1959); London Iss. 567, (Jan 28, 1892): 15.",,
208,1892,,Crowley,,,very extraordinary female impersonator; excites much wonderment,"The Stage (Archive: 1880-1959); London Iss. 571, (Feb 25, 1892): 10.

The Stage (Archive: 1880-1959); London Iss. 572, (Mar 3, 1892): 16.",,
209,1892,,Shaw,,,the famous female impersonator; filling an engagement at one of the Over-the-Rhine concert halls and creating a furor; his wardrobe is among the handsomest of the stage; wonderful performer in his line.,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]20 Mar 1892: 19.",,
210,1892,Pete,Shaw,,,one of the greatest vaudeville artists that has even appeared in Toronto; large salary; will appear at each of the four performances daily; out of the thousands in the profession he is the only one who has ever had the distinguished honor of being called to entertain his Royal Highness of the Prince of Wales; impersonations of feminine sex are simply wonderful; he is the peer of all others in this line; the most perfect female impersonator the stage has ever known,"The Globe (1844-1936); Toronto, Ont. [Toronto, Ont]02 Apr 1892: 20.

The Globe (1844-1936); Toronto, Ont. [Toronto, Ont]04 Apr 1892: 8.

The Globe (1844-1936); Toronto, Ont. [Toronto, Ont]08 Apr 1892: 8.",,
211,1892,,Benedetto,,,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]12 Apr 1892: 2.,,
212,1892,Lincoln,Ellwood,,Haverly’s Minstrels,,"New York Times (1857-1922); New York, N.Y. [New York, N.Y]24 Apr 1892: 13.",,
213,1892,Percy,Cahill,,,female impersonator and pantomimist,"The Stage (Archive: 1880-1959); London Iss. 581, (May 5, 1892): 17-20.",,
214,1892,,,,,______ can’t find,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]22 May 1892: 10.

Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]17 July 1892: 10.",,
215,1892,Spence,Lee,,,a very clever female impersonator,"The Stage (Archive: 1880-1959); London Iss. 584, (May 26, 1892): 18.",,clever
216,1892,Paul,La Drew,,“The Female Mastodons”,,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]06 June 1892: 4.,,
217,1892,Ella,Wesner*,,,?),"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]09 June 1892: 12.",,
218,1892,George,Fredericks,,,clever as a female impersonator,"The Stage (Archive: 1880-1959); London Iss. 586, (Jun 9, 1892): 8.",,clever
219,1892,Clarence,Hallett,,,double-voiced vocalist and female impersonator; gave a couple of songs in capital style,"The Stage (Archive: 1880-1959); London Iss. 587, (Jun 16, 1892): 6.",,
220,1892,Gilbert,Saroney,,,re-run of story on Annie Hindle — pasted below,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]10 July 1892: 14.

Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]11 July 1892: 3.",,
221,1892,,Wild Dick,,,"/Richard Pryor/ greatest female impersonator I ever saw in 1859; handsome young creole with soft black eyes, delicate features and a hand and foot that might have been the pride of a duchess; posed on the boat trip as a young French widow of fortune; soon center of an ardent circle of admirers—PDFs saved","Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]28 July 1892: 2.

New - York Tribune (1866-1899); New York, N.Y. [New York, N.Y]07 Aug 1892: 12.

Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]05 Jan 1893: 7.",,
222,1892,,,,,hiring,"The Stage (Archive: 1880-1959); London Iss. 596, (Aug 18, 1892): 16.",,
223,1892,Charles,Adeson,,,as Hermia /and Puck/ in “Nap”; about as natural a female impersonator as we have seen,"The Stage (Archive: 1880-1959); London Iss. 598, (Sep 1, 1892): 5.",Nap,
224,1892,,Crowley,,,"Referred to as ""The Mysterious Crowley""; variety show","The Stage (Archive: 1880-1959); London Iss. 600, (Sep 15, 1892): 16.",,
225,1892,Gus,Mills,,,"“The Hustler”; nature made him what he is, also, and that is a female impersonator who stands alone, unapproached in his peculiar specialty","Austin Daily Statesman (1891-1902); Austin, Tex. [Austin, Tex]09 Oct 1892: 7.",The Hustler,
226,1892,Tom,Lisbourne,,,excellent female impersonator; makes plenty of fun out of the part of Widow O’Brien,"The Stage (Archive: 1880-1959); London Iss. 606, (Oct 27, 1892): 6.",(Role: Widow O’Brien),
227,1892,P.G.,Fairley,,,played Mrs. Muldoon in “New Muldoon’s Picnic”,"The Stage (Archive: 1880-1959); London Iss. 606, (Oct 27, 1892): 16-20.",New Muldoon’s Picnic,
228,1892,Pete,Shaw,,Wilbur Opera Company,many people in Wilbur Opera Company leaves in protest against hiring Shaw — PDF saved,"The Atlanta Constitution (1881-1945); Atlanta, Ga. [Atlanta, Ga]03 Nov 1892: 1.",,
229,1892,Peter,Shaw,,,has a particular fascination for the horses,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]07 Nov 1892: 4.",,
230,1892,,Crowley,,,The Mysterious Crowley; well-received; exceptional ability,"The Stage (Archive: 1880-1959); London Iss. 609, (Nov 17, 1892): 15.

The Stage (Archive: 1880-1959); London Iss. 611, (Dec 1, 1892): 8.",,
231,1892,Horance,Randall,,,"Irish female impersonator; plays leading part Elenora McGuckin in “Elenora""",Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]20 Nov 1892: 11.,Elenora,
232,1893,Gus,Mills,,,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]25 Dec 1892: 22.",The Hustler,
233,1893,Walter,Lambert,,,cyclist; plays Miss Lydia Dreams; proves to not only be a clever female impersonator but also lightning cartoonist of exceptional ability,"The Stage (Archive: 1880-1959); London Iss. 616, (Jan 5, 1893): 19.",(Role: Lydia Dreams),clever
234,1893,Lincoln,Ellwood,,[Willie] Cushman’s Progessive Minstrels,,"Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]11 Jan 1893: 2.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]14 Jan 1893: 6.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]15 Jan 1893: 3.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]15 Jan 1893: 11.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]17 Jan 1893: 5.",,
235,1893,,,,,Unnamed Chinese female impersonator — PDF saved,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]26 Jan 1893: 12.",,
236,1893,Quinton,Gibson,,,,"The Stage (Archive: 1880-1959); London Iss. 620, (Feb 2, 1893): 10.",,
237,1893,,Benedetto,,,vaudeville; his imitation is a clever bit of work; many people who saw the performance yesterday and never thought for a moment that Sig. Bendetto was a man,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]14 Feb 1893: 3.",,clever
238,1893,James,Crosby,,Georgia Minstrels,,"Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]22 Feb 1893: 4.",,
239,1893,Billy,Kersands,,,"clean-cut perception of humor; Mother Hubbard gown; singing “Marguerite”; excruciatingly funny and when he opens that mouth and warbles, the other darks are dimmed","Los Angeles Times (1886-1922); Los Angeles, Calif. [Los Angeles, Calif]22 Feb 1893: 4.",,
