,address,architect,built,demolished,original_name,later_named,owners,seats,name,reference,original_text
71,Sixth Avenue between 43rd and 44th Street, J.H. Morgan,1905,1939,,,,4687,Hippodrome,,"Sixth Avenue between 43rd and 44th Street
Built: 1905
Demolished: 1939
Seats: 4,687
Architect:  J.H. Morgan
Owners/Managers:  John W. Gates, Frederick Thompson & Elmer
        S. Dundy (1905-1906), Gates and the Shuberts (1906-1915), Charles
        Dillingham (1915-1923), Keith & Albee (1923-1925), RKO (1925-1929)
History: With a stage that was 200 feet wide and 110 feet deep, this 
        amphitheatre was home to spectacles, vaudeville and Religious Science
        lectures. Billy Rose renovated 
        the house for Jumbo, spending so much that it proved impossible
        for the popular production to turn a profit. After the building was demolished, the lot remained
        vacant for over a decade. It is now the site of a parking garage and office
        building.
Noteworthy Musicals: Jumbo (1935)"
72,86-94 14th Street,,1864,1872 (fire),,,,,Hippotheatron,,"86-94 14th Street
Built: 1864
Demolished: 1872 (fire)
History: Built on the site of Nixon's Alhambra Theatre, this was supposedly one
        of the first steam heated buildings in New York. The home of Lent's New
        York Circus, it was renamed the Hippotheatron in 1869, and housed
        several early musicals until Barnum took over in 1872. The building
        burned down a month later, killing a full menagerie of animals.
Noteworthy musicals: Fairy Prince O'Donoughue (1865)"
73,"720 Broadway, just below 8th Street",,1850 (approx),,,"Donaldson's Opera House (1855), Academy of Minstrels",,,Hope Chapel,,"720 Broadway, just below 8th Street
Later Named: Donaldson's Opera House (1855), Academy of Minstrels
        (1856),  Kelly & Leon's (1865), Waverly Theatre (1869), Lina Edwin's
        (1870)
Built: 1850 (approx)
History: Originally a religious assembly hall, this space converted to theatrical
        use in 1855. From 1865 to 1869, it was leased by Edwin Kelly and female
        impersonator Francis Leon, who presented a series of important musicals.
        Actress manager Lina Edwin enjoyed a brief reign here in the early
        1870s."
74,125 West 48th Street,,1918,1951,,,,500 (approx),Jack Norworth,,"125 West 48th Street
Built: 1918
Demolished: 1951
Seats: 500 (approx.)
History: This intimate house was initially named for its first
        owner, songwriter Jack Norworth, who
        lost the theatre after four months. Renamed the Belmont,
        it was used as a movie theatre from 1936 until its demolition.
Noteworthy Musicals: Odds and Ends (Moved - 1918), Americana
        (1926)"
75,Broadway at 44th Street,,1895,1935,,,,N/A,Jardin De Paris,,"Broadway at 44th Street
Also named: Olympia Roof Garden, New York Roof
Built: 1895
Demolished: 1935
Seats: N/A
History: The roof garden of the Olympia Theatre went by various
        names, but it is was called the Jardin de Paris when Florenz Ziegfeld
        produced the first five editions of the Follies here (1907-1911)."
76,202 West 58th Street,,1926,1985,,"Cort's 58th Street, Filmarte, Fine Arts, Concert,",,,John Golden (Old),,"202 West 58th Street
Later named: Cort's 58th Street, Filmarte, Fine Arts, Concert,
        Elysee
Built: 1926
Demolished: 1985
Owners/Managers: John Golden (1926-1935), John Cort (1935-1936)
History: This theatre was built by and named for producer John
        Golden, who lost it after a series of flops during the Great Depression.
        Renamed briefly for producer John Cort, this house was used under
        various names as a movie venue from 1936 to 1946. In 1942, it was called
        the Concert when it housed a short lived revue. ABC used this space as a
        radio and TV studio from 1946 until it was demolished thirty years
        later.
Noteworthy Musicals: Of V We Sing (1942)"
77,"15-21 John Street, East of Broadway",, 1767, 1798,,,,,John  Street Theatre,,"15-21 John Street, East of Broadway
        
        Built:  1767
Demolished:  1798
Capacity: About 750
Owner: Built by David Douglass
History:  New York's fifth formal theatre. Due in part to a lack of serious competition, this
        unattractive wooden structure served as the city's principal performance venue
        for three decades.
        This house was renamed the Theatre Royal during the British occupation
        (1776-1783), then reverted to its original moniker. In its final year,
        it housed the very brief run of the early American musical The
        Archers. In 1797, the structure briefly became part of a hay and feed store.
Noteworthy Musicals:  The Archers (1796)"
78,926 Seventh Avenue (at 59th Street),Herbert J. Krapp,1921,1962,," Central Park, Venice, Yiddish Art, Molly Picon, New Century",,2770,Jolson's,,"926 Seventh Avenue (at 59th Street)
Later named:  Central Park, Venice, Yiddish Art, Molly Picon, New Century
Built: 1921
Demolished: 1962
Seats: 2,770
Architect: Herbert J. Krapp
Owners/Managers: The Shuberts
        History: The Shubert Brothers named this theatre after their
        greatest musical comedy star,  Al Jolson. 
        He appeared in just one show, Bombo -- the first of many hit musicals to play here.
        The house changed names often over the years. It was
        renamed the Central Park in 1931, the Venice in 1934 -- and under that
        name housed the historic first performance of The Cradle Will Rock
        in 1937. The house was named for
        actress Molly Picon for a few months in 1942. The Shuberts called it the
        New Century as of 1944, and booked a series of musical hits. NBC
        leased it as a TV studio from 1953 to 1958. After several years of disuse,
        it was demolished and replaced by an apartment building.
Noteworthy Musicals: Bombo (1921), The Student Prince 
        (1924), The Cradle Will Rock (1937), Follow the Girls (1944), 
        Up In Central Park (1945), High Button Shoes (1947), 
        Kiss Me Kate (1948), Out of This World (1950), Carnival
        in Flanders (1953)"
79,,,,,,,,,Kelly & Leon's,Hope Chapel, - see Hope Chapel
80,251 West 45th Street,Eugene DeRosa,1921,1954,,,"Marc Klaw & Abe Erlanger (1921-early 1930s), CBS",,Klaw,,"251 West 45th Street
Also named: Avon
Built: 1921
Demolished: 1954
Architect: Eugene DeRosa
Owners: Marc Klaw & Abe Erlanger (1921-early 1930s), CBS
        (1937-1953)
History: Originally named for theatre owner Marc
        Klaw, this house was given the Shakespearean name 
        Avon in 1928. Beginning in 1934, CBS used 
        it as a radio studio, purchasing the building outright in 1937.
        Seventeen years later, it was torn down to make way for a parking garage."
81,,,,,,,,,Knickerbocker,Abbey's, - see Abbey's
82,West 23rd Street & 6th Avenue,,1870,1924,,,,,Koster & Bial's,,"West 23rd Street & 6th Avenue
Also named: Bryant's Opera House (1870), Darling's Opera House
        (1875), 23rd Street (1875), Theatre Francaise (1877), St. James (1878),
        The Trocadero (1896)
Built: 1870
Demolished: 1924
History: Koster & Bial took over this venue in 1879, turning
        it into America's premiere variety theatre. Many giants of musical theatre
        performed here, including musician Victor Herbert and George M. Cohan's
        dancing sister Josie. The owners moved to an uptown location in 1896,
        and this house served a vaudeville venue into the 1910s. While the
        theatre is long gone, it spawned an adjacent complex of nightclubs and
        restaurants that stretched over a whole block -- the only remaining
        evidence is a pair of stone tablets on the building that still stands at
        Sixth Avenue and 24th Street, proclaiming it ""The Corner."""
83,200 West 48th Street (at Broadway),, 1933,1990,,,,499,Latin Quarter,,"200 West 48th Street (at Broadway)
Also named: Palais Royal, Connie's Inn, Cotton Club, 22 Steps,
        Princess (II)
Built:  1933
Demolished: 1990
Seats: 499
History:  After many years housing some of New York's most
        legendary nightclubs, this two-story structure was converted to
        theatrical use in the late 1970s. It dared to rename itself after the
        legendary Princess Theatre, but had none of the intimate elegance of
        that house. The building was demolished to make
        way for a high rise hotel.
Musicals: My Old Friends (1979), The Madwoman of
        Central Park (1979), Pump Boys and Dinettes (1982), Harlem
        Nocturne (1984)"
84,622 Broadway (above Houston Street),,,,,,,,Laura Keene's Varieties,,"622 Broadway (above Houston Street)
see The Olympic (2nd)"
85,254 West 42nd Street,Albert Edward Westover,1906,1997,,"Hackett, Harris, Frazee, Wallack's, ANCO Cinema",,880,Lew  M. Fields,,"254 West 42nd Street
Later named: Hackett, Harris, Frazee, Wallack's, ANCO Cinema
Built: 1906
Demolished: 1997
Seats: 880
Architect: Albert Edward Westover
History: Built by Oscar Hammerstein I and Lew Fields, it was purchased and 
        renamed The Harris by producer Henry Harris in
        1910. It was renamed for producer Henry  Frazee 
        in 1919, then renamed Wallack's in 1924. A movie 
        house as of 1930, it was renovated in 1940 and renamed the 
         ANCO Cinema. Gutted for use as
        retail space in 1988, the denuded building was demolished nine years
        later. 
Noteworthy Musicals: It Happened in Nordland (1904), Laff That Off 
        (1925)"
86,312-316 Fourth Avenue (North of 24th Street),,1885,1902,,,,,Lyceum (Old),,"312-316 Fourth Avenue (North of 24th Street)
Built: 1885
Demolished: 1902
History: The first NY theatre to be lit entirely by
        electricity -- the installation was personally supervised by inventor Thomas
        Edison. Acclaimed as the most handsome theatre of its day, the Lyceum
        was managed by Daniel Frohman for most of its seventeen year existence."
87,,,,,,,,,Madison Square Theatre, Fifth Avenue, - see  Fifth Avenue
88,"Broadway and 59th Street, at Columbus Circle",John H. Duncan,1903,1954,,"Park, Cosmopolitan, International",,1704,Majestic,,"Broadway and 59th Street, at Columbus Circle
Later named: Park, Cosmopolitan, International
Built: 1903
Demolished: 1954
Seats: 1,704
Architect: John H. Duncan
History: Built by the Pabst Brewing Company as part of an entertainment 
        complex. Renamed The Park in 1911,
        then the Cosmopolitan in 1922 and  The International 
        in 1944, it was used as an NBC television studio from 1949 until its demolition 
        in 1954  Sid Caesar's variety series Your Show of Shows was broadcast 
        from here.
Noteworthy Musicals: The Wizard of Oz (1903), Babes in Toyland 
        (1903), The Rose of the Alhambra (1907), The Quaker Girl
        (1912), Sing Out Sweet Land (1944)"
89,,,,,,,,,Manhattan, Standard, - see  Standard
90,107 West 39th Street,Marshall & Fox,1908,1956,,,,934,Maxine Elliot's,,"107 West 39th Street
Built: 1908
Demolished: 1956
Seats: 934
Architect: Marshall & Fox
History: Named for a popular actress, this was the first theatre
        built by the Shubert Brothers in the Times Square area. Ms. Elliott
        managed the house through 1920, after which it had few successful tenants. 
        From 1941 onwards, it was used as a radio and television studio. "
91,472 Broadway,,1847,1868 (fire),,,,,Mechanic's Hall,,"472 Broadway
Also named: Butler's American Theatre
Built: 1847
Demolished: 1868 (fire)
History: For its first ten years, this theatre housed E.P.
        Christy's Minstrels, then the most popular minstrel troupe in New
        York. The Bryant Brothers Minstrels followed (1857-1865), as did
        other troupes. Renamed Butler's American in 1867, the building
        burned down less than a year later. "
92,124 West 43rd Street,Ingalls & Hoffman and Paul R. Allen  ,1918,,,,, originally 946 now 631,Henry Miller,,"124 West 43rd Street
Alternate name:  The Kit Kat Club
Built: 1918
Seats:  originally 946, now 631
Owners/Managers:  Henry Miller (1918-1930), Gilbert Miller (1930-1963)
Architect: Ingalls & Hoffman and Paul R. Allen  
History:  Built by and named for actor-producer  Henry
        Miller,
        whose producer son Gilbert purchased the house in 1930. A porno movie
        venue in the 1960s, the space became the disco Xenon. In 1997, it was
        renamed the  Kit Kat Club for the Roundabout Theatre revival of Cabaret
         the first musical to play this house, which was renamed The Henry
        Miller for the run of Urinetown.
Noteworthy Musicals: Cabaret (Revival - 1998), 
        Urinetown (2001) "
93,217 West 45th Street,John H. Duncan,1917,1982,,,,923,Morosco,,"217 West 45th Street
Built: 1917
Demolished: 1982
Seats: 923
Architect: John H. Duncan
History:  Named for producer  Oliver
        Morosco, this intimate house
        was a popular venue for dramas and comedies. It was one of several
        theatres demolished to make way for the Marriott Marquis Hotel. "
94,"64-66 Nassau Street, between Maiden Lane and John St.",,1732,1765,,,,,Nassau Street,,"64-66 Nassau Street, between Maiden Lane and John St.
        Also named:  The New Theatre
Built: 1732
Demolished: 1765
Owner: Rip Van Dam
History:  Believed to be New York City's first formal theatre, it
        was owned by the acting governor of the colony. In 1750, it hosted New
        York's first-known performance of a musical, The Beggar's Opera,
        presented by Murray & Kean's traveling theatrical troupe. No
        depictions of it are known to survive. Its architect and seating capacity are
        unrecorded. 
Noteworthy Musicals: The Beggar's Opera (1750)"
95,NW corner of Church & Leonard Streets,,1833, 1841 - fire,,,,,National (1st),,"NW corner of Church & Leonard Streets
Also named: Italian Opera House
Built: 1833
Demolished:  1841 - fire
History: Unsuccessful as an opera venue, this space converted to
        theatrical presentations in 1836. It was home to James Wallack's
        company, and house several early musicals. It
        burned down in 1841, but it seems that the name was soon taken by
        another auditorium -- there are programs for performances at ""The
        National"" as late as 1852."
96,The Bowery,,,,,,,,National (2nd - Bowery),,"The Bowery
Also named: Roumania Opera House
        In the 1880s, a Bowery theatre called ""The National"" housed
        Yiddish theatre performances starring Siegmund Mogulesko. Musicals101 is
        looking for further information on this theatre, and will post it when
        available. "
97,119 West 39th Street,William A. Swasey,1910,1926,,The 39th Street,The Shuberts,699,Nazimova's 39th Street,,"119 West 39th Street
Later Named: The 39th Street
Built: 1910
Demolished: 1926
Seats: 699
Architect: William A. Swasey
Owners: The Shuberts
History: Initially named for actress  Alla
        Nazimova, this intimate
        theatre never housed a musical. Too small to turn a profit, it was demolished to make was for a high
        rise office tower."
98,,,,,,,,,New Century,Jolson's 59th Street, - see Jolson's 59th Street
99,,,,,,,,,New Fifth Avenue,Fifth Avenue , - see Fifth Avenue 
100,932 Broadway (Between 21st & 22nd Streets),,1874,1882 (fire),,Abbey's Park Theatre (1876),,,New Park,,"932 Broadway (Between 21st & 22nd Streets)
        Later Named: Abbey's Park Theatre (1876)
        Built: 1874
Demolished: 1882 (fire)
        This theatre was plagued by debt until manager Henry Abbey took over in
        1876. 
        "
101,Central Park West at 62nd Street, Carerre & Hastings, 1909,  1930,,"New Colonial, Harkness",,  Originally 2318,New Theatre,,"Central Park West at 62nd Street
Later Named: New Colonial, Harkness
Built:  1909
Demolished:   1930
Seats:   Originally 2,318
Architect:  Carerre & Hastings
History: Built by high society subscribers to promote
        non-commercial productions, this oversized and lavishly appointed
        theatre soon switched over to booking musicals and was renamed the 
        Century.
        Upstairs, the 500 seat Century Roof was home to musical revues. The
        Shuberts managed the house from 1920 to 1929, but an inconvenient
        location and terrible acoustics made this an unpopular house with actors
        and audiences. The location is now filled by the Century Apartment
        complex.
Noteworthy Musicals: The Century Girl (1916), Miss 1917, Yip
        Yip Yaphank (1918),  The Rose of Stamboul (1922),  Princess Flavia
        (1925)"
102,,,,,,,,,New York,"Hammerstein's Olympia, Music Hall"," - see Hammerstein's Olympia, Music Hall"
103,,,,,,,,,New York Roof Garden,Jardin De Paris, - see Jardin De Paris
104,,,,,,,,,New Yorker,Studio 54, - see Studio 54
105,Broadway at Prince Street (NE Corner),, 1828,1895,,,,approximately 3000,Niblo's Garden,,"Broadway at Prince Street (NE Corner)
Built:  1828
Demolished: 1895
Seats: approximately 3,000
History:  William Niblo built this house as part of an entertainment complex
        that included an outdoor garden. New York's most fashionable theatre in the mid-19th
        century, it was destroyed in an 1846 fire and rebuilt three years later.
        This second Niblo's was home to The Black
        Crook, considered by many scholars to be the first
        Broadway musical. The neighborhood still boasts a number of buildings
        from the 1800s, but Niblo's location is currently occupied by a 20th
        Century office building.
Noteworthy Musicals: The Black Crook (1866) The White Fawn
        (1868), Le Barbe Blue (1868), Evangeline (1873)"
106,216 West 44th Street,William Albert Swasey,1912,1945,,,"The Shuberts (1912-1940), The NY Times (1940-1945)",N/A,Nora Bayes,,"216 West 44th Street
Built: 1912
Demolished: 1945
Seats: N/A
Architect: William Albert Swasey
Owners: The Shuberts (1912-1940), The NY Times (1940-1945)
History:  The roof theatre atop the Weber
        & Fields Music Hall (a.k.a. 44th Street Theatre) went by
        many names, but is best remembered for the time it was named after
        musical and vaudeville star Nora Bayes.
        After housing a series of intimate but unsuccessful musicals, it fell into
        disuse by the 1940s.
Noteworthy Musicals: All Aboard (1913),  My Golden Girl
        (1920),  Our Nell (1922),  The Wonder Bar (1931)"
107,,,,,,,,,Norworth,Jack Norworth, - see Jack Norworth
108,422 Broadway (between Howard & Grand Streets),,1837,1854,Mitchell's Olympic,,,,Olympic (1st),,"422 Broadway (between Howard & Grand Streets)
Later Name: Mitchell's Olympic
Built: 1837
Demolished: 1854
History: Modeled after the London Olympic, eventual owner William
        Mitchell turned this into one of the most popular theatres in Manhattan. It
        was converted into retail space in 1852, and burned down two years later.
Noteworthy Musicals: 1940! (1840), A Glance At New York
        (1848)"
109,622 Broadway (just above Houston Street),,1856,1880,,,,,Olympic (2nd),,"622 Broadway (just above Houston Street)
Previous name: Laura Keene's Varieties
Built: 1856
Demolished: 1880
History: Originally built by and named for American actress  Laura
        Keene, who produced the record-setting musical extravaganza Seven
        Sisters  (1860) here. It was renamed Mrs. John Wood's Olympic in
        1863, and was home to the record setting pantomime Humpty
        Dumpty. The Olympic remained a popular venue for musical burlesques until its
        demolition.
Noteworthy Musicals: The Seven
        Sisters  (1860), Humpty Dumpty 
        (1868)"
110,39-41 Chambers Street (between Broadway & Centre),,1844,1876,,,,,Palmo's Opera House,,"39-41 Chambers Street (between Broadway & Centre)
Also named: Burton's Chamber Street
        Theatre
Built: 1844
Demolished: 1876
History: Manhattan restaurant owner Ferdinando Palmo lost a
        fortune building this intimate opera venue, which went bankrupt in just
        two years. It passed through a succession of owners before actor-manager
        William Burton took over, filling the house with a mix of comedies and
        musicals from 1848 to 1856. It later served as a minstrel hall and even
        as a court house before its demolition in 1876."
111,21-25 Park Row (opposite City Hall Park),,1798,1848 (fire),,,,,Park (1st),,"21-25 Park Row (opposite City Hall Park)
        
        Built: 1798
Demolished: 1848 (fire)
Capacity: 2000 (approx.)
Architects: Joseph Mangin & Mark Isambard Brunel
History: Built at a cost of $30,000 on Chatham Street (now
        called Park Row), New York City's first world-class theatre
        attracted all levels of society, but developed a reputation for catering to its
        wealthier clientele. Over the proscenium was painted the Latin
        motto ""Gnothi Seaution"" -- ""Know Thyself.""  The
        interior was redecorated in 1807 and 1809, with ""patent"" oil
        lamps replacing candlelight. The poor (and prostitutes) sat in the top
        gallery; benches in the pit (what we now call the orchestra section) were 
        reserved for working class men, and wealthy patrons sat in four
        tiers of private boxes named for famous European playwrights. The
        largest box, called ""Shakespeare,"" was usually reserved for
        critics and celebrities. The Park was out of fashion and facing hard times when a
        conveniently timed fire demolished it in 1848. This is currently the location of the
        main J&R Music World store."
112,,,,,,,,,Park (2nd),the old Majestic West 58th St., - see the old Majestic West 58th St.
113,137 West 48th Street,Charles Alonso Rich,1911,1969,,,,863 - increased to 994 in 1952,Playhouse,,"137 West 48th Street
Built: 1911
Demolished: 1969
Seats: 863 - increased to 994 in 1952
Architect: Charles Alonso Rich
Owners/Managers: William A. Brady (1911-1944), The Shuberts
        (1944-1969)
History: Although this theatre never housed a musical, it can be
        seen as the home of the fictional Springtime for Hitler in Mel
        Brooks' original screen version of The Producers (1969). Soon after the
        filming, the Playhouse was demolished to make way for the McGraw Hill
        skyscraper."
114,Fourth Avenue and Eighth Street,,,,,,,,Poole's,,"Fourth Avenue and Eighth Street
Also named: Union 
        Managed by actor John Poole, this was one of the first legitimate
        theatres to serve as a home for Yiddish Theatre in 1887. In 1891, it was
        renamed The Union, and served for a time as home for Jacob Adler's
        troupe."
115,,,,,,,,,President,Edyth Totten, - see Edyth Totten
116,104 West 39th Street,William Albert Swasey,1913,1955,,,,299,Princess  ,,"104 West 39th Street
        (NB: The same name was used by San Francisco Music Hall 
        in 1902 and an off-Broadway 50th Street venue in the 1980s)
Also named: Lucille LaVerne, Assembly, Labor Stage
Built: 1913
Demolished: 1955
Seats: 299
Architect: William Albert Swasey
Owners/Managers: The Shuberts and F. Ray Comstock (1913-1933),
        The International Ladies Garment Workers Union (1933-1955)
History:  Built as a venue for drama, the Princess gave its name to a
        series of intimate Jerome Kern musicals produced in this house between 1915 and
        1918. It was briefly renamed for actress Lucille LaVerne 
        (1928-1929) and was called the Assembly when it served 
        as the ILGWU's union meeting hall (1929-1937). Renamed the 
        Labor Stage, it was home to the long 
        running pro-labor revue Pins and Needles. A movie 
        theatre in its final years, it was called Little Met 
        (1948) and Cinema Verdi (1952) because of its 
        proximity to the original Metropolitan Opera House.
Musicals:  Very Good Eddie (1915),  Oh Boy (1917),
        Oh Lady Lady (1918), Oh My Dear! (1919), Pins and Needles 
        (1937)"
117,153 West 49th Street,,1914,1987,," Charles Hopkins, Westminster, World, Embassy 49th Street",,299,Punch and Judy,,"153 West 49th Street
Later named:  Charles Hopkins, Westminster, World, Embassy 49th Street
Built: 1914
Demolished: 1987
Seats: 299
History:  Actor Charles Hopkins built this as a home for
        experimental productions, and renamed it for himself in 1926. From 1933 on, this 
        became a movie theatre under various names. Rockefeller Center purchased and 
        demolished this structure to make way for another skyscraper."
118, - see Candler,,,,,,,,Sam H. Harris,Candler," - see Candler
The Sam Harris Theatre (originally called the Candler)
         used the program cover seen here for a variety of productions. However,
         nothing about this fanciful scene has any connection to producer Harris
         or the physical appearance of the theatre."
119,Broadway at 29th Street,,??,,,,,,San Francisco Minstrels/Music Hall,,"Broadway at 29th Street
Also named: The Jonah, Hermann's Gaiety (1890s), The Princess
        (1902)
Built: ??
        A former billiard parlor, this small theatre became a minstrel house in
        1875. Leased by the Shuberts, who renamed it The Princess in 1902. The
        building was converted to retail space in 1907."
120,,,,,,,,,Savoy,Schley Music Hall, - see Schley Music Hall
121,112 West 34th Street,Michael Bernstein, 1900,1952,,Savoy,,841,Schley Music Hall,,"112 West 34th Street
Later named: Savoy
Built:  1900
Demolished: 1952
Seats: 841
Architect: Michael Bernstein
History:  Eight months after opening, this theatre was renamed the 
         Savoy  for the London theatre where 
        many of Gilbert and Sullivan's musicals premiered. The house had several 
        owners over the years. As far as we can determine, no significant musicals 
        ever opened here."
122,22 West 63rd Street,Thomas Lamb; completed by Erwin Rossbach (1914),1909,1957,,"Cort's 63rd Street, Daly's, Coburn, Park Lane,",,1024,63rd Street Music Hall,,"22 West 63rd Street
Later named: Cort's 63rd Street, Daly's, Coburn, Park Lane,
        Experimental
Built: 1909
Demolished: 1957
Seats: 1,024
Architect: Thomas Lamb; completed by Erwin Rossbach (1914)
History: Financial difficulties left this theatre unfinished for
        five years. After brief use as a showcase for religious events, producer
        John Cort staged a drama here and
        named the theatre for himself. The theatre reverted to its original name
        until 1922, when it was renovated and renamed for the late theatre
        manager August Daly. It was named
        for actor Charles Coburn in 1928,
        took the generic name Park Lane in
        1932, Gilmore's in 1934, and the 
        Experimental        in 1936. Renamed Daly's in 1938, it sat unused from 1941 until its
        demolition sixteen years later.
Musicals: Shuffle Along (1921), Liza (1922), Keep
        Shuffling (1928)"
123,,,,,,,,,Standard, Eagle, - see  Eagle
124,,,,,,,,,Star,Wallack's (2nd), - see Wallack's (2nd)
125,,,,,,,,,Stuyvesant,Belasco, - see Belasco
126,"North Side of 14th Street, East of Broadway",,1867,,,,,,Tammany,,"North Side of 14th Street, East of Broadway
Built: 1867
        This auditorium was housed in the headquarters of New York's infamous
        political machine, Tammany Hall. It held legitimate productions from
        1869 to 1876."
127,,,,,,,,,Thalia, The Bowery, - see  The Bowery
128,,,,,,,,,Theatre Comique (1st - 514 Broadway),Wood's Minstrel Hall, - see Wood's Minstrel Hall
129,728 Broadway (Opposite Waverly Place),,1865,1884 (fire),,,,,Theatre Comique (2nd),,"728 Broadway (Opposite Waverly Place)
        Built: 1865
Demolished: 1884 (fire)
        Other names: Lucy Rushton's New York Theatre
History: This was a Unitarian Church until department store owner
        A.T. Stewart converted it into a theatre for actress Lucy Rushton in
        1865. It was here in 1866 that The Black Domino and Between
        You, Me and the Post became the first Broadway productions to bill
        themselves as ""musical comedies."" Considered haunted by its
        religious past, this house fell into disuse use until Harrigan and Hart
        refurbished it and renamed it Theatre Comique 
        in 1881. It was destroyed by fire three years later."
130,,,,,,,,,Thirty Ninth Street Theatre, Nazimova's, - see  Nazimova's
131,,,,,,,,,Tripler Hall,Winter Garden (Old), - see Winter Garden (Old)
132,Broadway and Fourth Avenue,,1870,1936,,,"Sheridan Shook, Albert Palmer (1872-1883), Keith and",,Union Square Theatre,,"Broadway and Fourth Avenue
Built: 1870
Demolished: 1936
Also Named: Acme
Owners: Sheridan Shook, Albert Palmer (1872-1883), Keith and
        Albee (1873-1914).
History: Built for variety shows, the Union Square switched to legit
        bookings in 1872. In 1883, Keith and Albee added it to their growing
        vaudeville circuit -- the Four Cohans made their Manhattan debut on the
        opening bill. A movie house from 1914 on, it was renamed the Acme in
        1921 and served as a home for Soviet Russian films."
133,148 West 48th Street,Eugene DeRosa,1918,1954,,,Lyle Andrews (1918-1935),798,Vanderbilt,,"148 West 48th Street
Built: 1918
Demolished: 1954
Seats: 798
Architect: Eugene DeRosa
Owners: Lyle Andrews (1918-1935)
History: A favorite house for intimate musicals and plays in the
        1920s, the Vanderbilt became a radio studio in the 1930s and 40s. It was
        demolished after a series of flops in the early 1950s. The parking garage that
        replaced it was designed by theatre architect Herbert J.
        Krapp.
Musicals: Oh Look (1919), Irene (1919),  The Girl
        Friend (1926),  Peggy Ann (1926),  A Connecticut Yankee (1927), 
        New Faces of 1936"
134,,,,,,,,,Venice,Jolson's 59th Street, - see Jolson's 59th Street
135,116 West 50th Street,Herbert J. Krapp,1926,Late 1960s,,,,1048,Waldorf,,"116 West 50th Street
Built: 1926
Demolished: Late 1960s
Seats: 1,048
Architect: Herbert J. Krapp
History: With few hits, this theatre converted to movie use in
        1933. Its location is now occupied by the Exxon Building.
Musicals: Take the Air (1927)"
136,(This name was also used by Lew M. Fields,,1850,1869,,,,,Wallack's (1st),,"(This name was also used by Lew M. Fields
        Theatre, 1924-1940)
        Broadway and Broome Street (SW corner)
Also Named: Lyceum, Broadway
Built: 1850
Demolished: 1869
History: Built by actor John Brougham, who called it the 
        Lyceum. Actor-manager James W. Wallack took over
        the house in 1852 and renamed it for himself. After Wallack left to
        manage his new 13th Street theatre (see below), the theatre underwent
        several changes of name and ownership."
137,Broadway at 13th Street,,1861,1901,," Germania, Star",,Unknown,Wallack's (2nd),,"Broadway at 13th Street
        Later named:  Germania, Star
Built: 1861
Demolished: 1901
Seats: Unknown
Note: This was the second theatre to bear the name of
        actor-manager James W. Wallack. After Wallack's death,
        his son Lester managed the theatre until 1881. Later known as the 
        Germania and the Star, it housed all sorts of
        productions until it was demolished to make room for a skyscraper.
Musicals: Fritz Our German Cousin (1870)"
138,,,,,,,,,Waverly,Hope Chapel, - see Hope Chapel
139,216 West 44th Street,William Albert Swasey,1912,1945,,44th Street Theatre,"The Shuberts (1912-1940), The NY Times (1940-1945)",1468,Weber and Fields' Music Hall,,"216 West 44th Street
Later named: 44th Street Theatre
Built: 1912
Demolished: 1945
Seats: 1,468
Architect: William Albert Swasey
Owners: The Shuberts (1912-1940), The NY Times (1940-1945)
History:  Initially named in honor of beloved producer-comedians Joe 
        Weber and Lew Fields, after one year this house was renamed the 44th Street
        Theatre. It had a rooftop theatre that was named after Nora
        Bayes for a time. The site was cleared in 1945, and is currently
        occupied by the offices of the NY Times.
Musicals:  Animal Crackers (1928),  Rosalinda (1942),
        Follow the Girls (1944)"
140,On the Bowery,,,,,,,,Windsor,,"On the Bowery
        Located across the street from the landmark Bowery
        Theatre, this less prestigious house is best remembered as a home
        for the Yiddish theatre in the 1890s and early 1900s. David Kessler and 
        Jacob Adler starred in numerous productions here. Musicals101 
        is seeking more information on this theatre, and will post
        it when available."
141,,,,,,,,,Windsor,48th Street, - see 48th Street
142,667 Broadway,,"1850, rebuilt 1854",1867 (fire),,,,,Winter Garden (Old),,"667 Broadway
Also named: Tipler Hall, Laura Keene's 1st Varieties, Burton's
        New Theatre
Built: 1850, rebuilt 1854
Demolished: 1867 (fire)
History: Initially a concert hall, this capacious hall was leased by a
        succession of stellar talents, including soprano Jenny Lind and actress/manager Laura Keene. It
        housed several musicals during the 1860s when it was known as The
        Winter Garden. American tragedian Edwin Booth was appearing here in
        repertory when the building burned to the ground in 1867."
143,514 Broadway (between Spring & Broome Streets),, 1862,  1881,,"Wood's Theatre (1866), Wood's Theatre Comique (1867)",,1400,Wood's Minstrel Hall,,"514 Broadway (between Spring & Broome Streets)
Later named: Wood's Theatre (1866), Wood's Theatre Comique (1867)
Built:  1862
Demolished:   1881
Seats:  1,400
History: A converted synagogue, this was home to several minstrel
        shows and Lydia Thompson's British burlesque troupe before the space was 
        renamed Theatre Comique in the 1870s. Harrigan 
        and Hart presented a series of musical comedies
        here from 1879 until moving to a new Theatre Comique in 1881. 
Musicals: Mulligan Guards Ball (1879)"
144,,,,,,,,,Wood's Museum,Daly's, - see Daly's
